entryno.,value,timestamp,timeperiod,OUDstreaktype,OUDstreakno.
349,126932,2017-06-12 10:57:06,20170601010210,2,17
350,126932,2017-06-12 10:57:07,20170601010210,2,18
351,126932,2017-06-12 10:57:07,20170601010210,2,19
352,126932,2017-06-12 10:57:08,20170601010210,2,20
353,126932,2017-06-12 10:57:09,20170601010210,2,21
354,126932,2017-06-12 10:57:10,20170601010210,2,22
355,126932,2017-06-12 10:57:11,20170601010210,2,23
356,126932,2017-06-12 10:57:12,20170601010210,2,24
357,126932,2017-06-12 10:57:12,20170601010210,2,25
358,126931,2017-06-12 10:57:13,20170601010210,1,0
359,126931,2017-06-12 10:57:14,20170601010210,2,0
360,126932,2017-06-12 10:57:15,20170601010210,0,0
361,126922,2017-06-12 10:57:16,20170601010210,1,0
362,126922,2017-06-12 10:57:16,20170601010210,2,0
363,126922,2017-06-12 10:57:17,20170601010210,2,1
364,126922,2017-06-12 10:57:18,20170601010210,2,2
365,126922,2017-06-12 10:57:19,20170601010210,2,3
366,126922,2017-06-12 10:57:19,20170601010210,2,4
367,126922,2017-06-12 10:57:20,20170601010210,2,5
368,126922,2017-06-12 10:57:21,20170601010210,2,6
369,126922,2017-06-12 10:57:22,20170601010210,2,7
370,126922,2017-06-12 10:57:23,20170601010210,2,8
371,126922,2017-06-12 10:57:23,20170601010210,2,9
372,126922,2017-06-12 10:57:24,20170601010210,2,10
373,126922,2017-06-12 10:57:25,20170601010210,2,11
374,126922,2017-06-12 10:57:26,20170601010210,2,12
375,126922,2017-06-12 10:57:27,20170601010210,2,13
376,126922,2017-06-12 10:57:27,20170601010210,2,14
377,126922,2017-06-12 10:57:28,20170601010210,2,15
378,126922,2017-06-12 10:57:29,20170601010210,2,16
379,126922,2017-06-12 10:57:30,20170601010210,2,17
380,126923,2017-06-12 10:57:31,20170601010210,0,0
381,126923,2017-06-12 10:57:31,20170601010210,2,0
382,126923,2017-06-12 10:57:32,20170601010210,2,1
383,126923,2017-06-12 10:57:33,20170601010210,2,2
384,126923,2017-06-12 10:57:34,20170601010210,2,3
385,126923,2017-06-12 10:57:34,20170601010210,2,4
386,126923,2017-06-12 10:57:35,20170601010210,2,5
387,126923,2017-06-12 10:57:36,20170601010210,2,6
388,126923,2017-06-12 10:57:37,20170601010210,2,7
389,126923,2017-06-12 10:57:38,20170601010210,2,8
390,126934,2017-06-12 10:57:39,20170601010210,0,0
391,126934,2017-06-12 10:57:40,20170601010210,2,0
392,126923,2017-06-12 10:57:40,20170601010210,1,0
393,126934,2017-06-12 10:57:41,20170601010210,0,0
394,126934,2017-06-12 10:57:42,20170601010210,2,0
395,126934,2017-06-12 10:57:43,20170601010210,2,1
396,126934,2017-06-12 10:57:44,20170601010210,2,2
397,126934,2017-06-12 10:57:45,20170601010210,2,3
398,126934,2017-06-12 10:57:45,20170601010210,2,4
399,126934,2017-06-12 10:57:46,20170601010210,2,5
400,126934,2017-06-12 10:57:47,20170601010210,2,6
401,126934,2017-06-12 10:57:48,20170601010210,2,7
402,126933,2017-06-12 10:57:48,20170601010210,1,0
403,126933,2017-06-12 10:57:49,20170601010210,2,0
404,126933,2017-06-12 10:57:50,20170601010210,2,1
405,126933,2017-06-12 10:57:51,20170601010210,2,2
406,126933,2017-06-12 10:57:52,20170601010210,2,3
407,126933,2017-06-12 10:57:52,20170601010210,2,4
408,126933,2017-06-12 10:57:53,20170601010210,2,5
409,126931,2017-06-12 10:57:54,20170601010210,1,0
410,126933,2017-06-12 10:57:55,20170601010210,0,0
411,126933,2017-06-12 10:57:55,20170601010210,2,0
412,126933,2017-06-12 10:57:56,20170601010210,2,1
413,126931,2017-06-12 10:57:57,20170601010210,1,0
414,126931,2017-06-12 10:57:58,20170601010210,2,0
415,126931,2017-06-12 10:57:59,20170601010210,2,1
416,126931,2017-06-12 10:57:59,20170601010210,2,2
417,126931,2017-06-12 10:58:00,20170601010210,2,3
418,126931,2017-06-12 10:58:01,20170601010210,2,4
419,126931,2017-06-12 10:58:02,20170601010210,2,5
420,126931,2017-06-12 10:58:03,20170601010210,2,6
421,126931,2017-06-12 10:58:03,20170601010210,2,7
422,126931,2017-06-12 10:58:04,20170601010210,2,8
423,126931,2017-06-12 10:58:05,20170601010210,2,9
424,126931,2017-06-12 10:58:06,20170601010210,2,10
425,126931,2017-06-12 10:58:07,20170601010210,2,11
426,126931,2017-06-12 10:58:07,20170601010210,2,12
427,126931,2017-06-12 10:58:08,20170601010210,2,13
428,126931,2017-06-12 10:58:09,20170601010210,2,14
429,126931,2017-06-12 10:58:10,20170601010210,2,15
430,126931,2017-06-12 10:58:11,20170601010210,2,16
431,126931,2017-06-12 10:58:11,20170601010210,2,17
432,126931,2017-06-12 10:58:12,20170601010210,2,18
433,126931,2017-06-12 10:58:13,20170601010210,2,19
434,126931,2017-06-12 10:58:14,20170601010210,2,20
435,126931,2017-06-12 10:58:15,20170601010210,2,21
436,126931,2017-06-12 10:58:15,20170601010210,2,22
437,126931,2017-06-12 10:58:16,20170601010210,2,23
438,126932,2017-06-12 10:58:17,20170601010210,0,0
439,126931,2017-06-12 10:58:18,20170601010210,1,0
440,126932,2017-06-12 10:58:19,20170601010210,0,0
441,126931,2017-06-12 10:58:19,20170601010210,1,0
442,126932,2017-06-12 10:58:20,20170601010210,0,0
443,126932,2017-06-12 10:58:21,20170601010210,2,0
444,126932,2017-06-12 10:58:22,20170601010210,2,1
445,126932,2017-06-12 10:58:23,20170601010210,2,2
446,126932,2017-06-12 10:58:23,20170601010210,2,3
447,126932,2017-06-12 10:58:24,20170601010210,2,4
448,126932,2017-06-12 10:58:25,20170601010210,2,5
449,126932,2017-06-12 10:58:26,20170601010210,2,6
450,126932,2017-06-12 10:58:27,20170601010210,2,7
451,126932,2017-06-12 10:58:27,20170601010210,2,8
452,126932,2017-06-12 10:58:28,20170601010210,2,9
453,126922,2017-06-12 10:58:29,20170601010210,1,0
454,126922,2017-06-12 10:58:30,20170601010210,2,0
455,126922,2017-06-12 10:58:30,20170601010210,2,1
456,126932,2017-06-12 10:58:31,20170601010210,0,0
457,126922,2017-06-12 10:58:32,20170601010210,1,0
458,126922,2017-06-12 10:58:33,20170601010210,2,0
459,126922,2017-06-12 10:58:34,20170601010210,2,1
460,126922,2017-06-12 10:58:34,20170601010210,2,2
461,126922,2017-06-12 10:58:35,20170601010210,2,3
462,126922,2017-06-12 10:58:36,20170601010210,2,4
463,126922,2017-06-12 10:58:37,20170601010210,2,5
